ID_participant,ID_participant_long,sex.prolific,age,education_covariate,survey_eval_difficulty
2222,children_2222,NA,49,5,3
2222,climate_evaluation_2222,NA,49,5,3
2222,education_university_2222,NA,49,5,3
2222,future_children_2222,NA,49,5,3
2222,life_satisfaction_2222,NA,49,5,3
2222,most_important_problem_2222,NA,49,5,3
2222,political_trust_washington_2222,NA,49,5,3
2222,president_2222,NA,49,5,3
2222,trust_most_people_2222,NA,49,5,3
2222,vote_choice_2_2222,NA,49,5,3
3333,children_3333,NA,26,5,3
3333,climate_evaluation_3333,NA,26,5,3
3333,education_university_3333,NA,26,5,3
3333,future_children_3333,NA,26,5,3
3333,life_satisfaction_3333,NA,26,5,3
3333,most_important_problem_3333,NA,26,5,3
3333,political_trust_washington_3333,NA,26,5,3
3333,president_3333,NA,26,5,3
3333,trust_most_people_3333,NA,26,5,3
3333,vote_choice_2_3333,NA,26,5,3
5484655ffdf99b07b28f22cc,children_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,climate_evaluation_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,education_university_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,future_children_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,life_satisfaction_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,most_important_problem_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,political_trust_washington_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,president_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,trust_most_people_5484655ffdf99b07b28f22cc,Male,74,6,2
5484655ffdf99b07b28f22cc,vote_choice_2_5484655ffdf99b07b28f22cc,Male,74,6,2
5513256cfdf99b1607b1f47b,children_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,climate_evaluation_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,education_university_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,future_children_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,life_satisfaction_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,most_important_problem_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,political_trust_washington_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,president_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,trust_most_people_5513256cfdf99b1607b1f47b,Male,31,6,4
5513256cfdf99b1607b1f47b,vote_choice_2_5513256cfdf99b1607b1f47b,Male,31,6,4
558acd52fdf99b65685f03d9,children_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,climate_evaluation_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,education_university_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,future_children_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,life_satisfaction_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,most_important_problem_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,political_trust_washington_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,president_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,trust_most_people_558acd52fdf99b65685f03d9,Female,31,5,3
558acd52fdf99b65685f03d9,vote_choice_2_558acd52fdf99b65685f03d9,Female,31,5,3
55900dcffdf99b3f7aada3f5,children_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,climate_evaluation_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,education_university_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,future_children_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,life_satisfaction_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,most_important_problem_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,political_trust_washington_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,president_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,trust_most_people_55900dcffdf99b3f7aada3f5,Male,72,5,3
55900dcffdf99b3f7aada3f5,vote_choice_2_55900dcffdf99b3f7aada3f5,Male,72,5,3
55a29659fdf99b5ff49937d3,children_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,climate_evaluation_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,education_university_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,future_children_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,life_satisfaction_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,most_important_problem_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,political_trust_washington_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,president_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,trust_most_people_55a29659fdf99b5ff49937d3,Female,47,5,3
55a29659fdf99b5ff49937d3,vote_choice_2_55a29659fdf99b5ff49937d3,Female,47,5,3
55a44167fdf99b12b371c88c,children_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,climate_evaluation_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,education_university_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,future_children_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,life_satisfaction_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,most_important_problem_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,political_trust_washington_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,president_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,trust_most_people_55a44167fdf99b12b371c88c,Male,26,3,3
55a44167fdf99b12b371c88c,vote_choice_2_55a44167fdf99b12b371c88c,Male,26,3,3
55cb9fb2fdf99b45b781b3cb,children_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,climate_evaluation_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,education_university_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,future_children_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,life_satisfaction_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,most_important_problem_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,political_trust_washington_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,president_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,trust_most_people_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55cb9fb2fdf99b45b781b3cb,vote_choice_2_55cb9fb2fdf99b45b781b3cb,Female,25,5,4
55d10258a392570012ea105b,children_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,climate_evaluation_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,education_university_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,future_children_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,life_satisfaction_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,most_important_problem_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,political_trust_washington_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,president_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,trust_most_people_55d10258a392570012ea105b,Female,40,5,3
55d10258a392570012ea105b,vote_choice_2_55d10258a392570012ea105b,Female,40,5,3
56b2f64c9b4875000b2099f2,children_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,climate_evaluation_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,education_university_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,future_children_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,life_satisfaction_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,most_important_problem_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,political_trust_washington_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,president_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,trust_most_people_56b2f64c9b4875000b2099f2,Female,27,3,4
56b2f64c9b4875000b2099f2,vote_choice_2_56b2f64c9b4875000b2099f2,Female,27,3,4
56b4b565b2de2a000d3316ba,children_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,climate_evaluation_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,education_university_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,future_children_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,life_satisfaction_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,most_important_problem_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,political_trust_washington_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,president_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,trust_most_people_56b4b565b2de2a000d3316ba,Female,33,3,4
56b4b565b2de2a000d3316ba,vote_choice_2_56b4b565b2de2a000d3316ba,Female,33,3,4
56bfba439f7a1e000afdcba9,children_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,climate_evaluation_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,education_university_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,future_children_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,life_satisfaction_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,most_important_problem_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,political_trust_washington_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,president_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,trust_most_people_56bfba439f7a1e000afdcba9,Female,32,6,3
56bfba439f7a1e000afdcba9,vote_choice_2_56bfba439f7a1e000afdcba9,Female,32,6,3
56c3ee7411e094000dd4654d,children_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,climate_evaluation_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,education_university_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,future_children_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,life_satisfaction_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,most_important_problem_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,political_trust_washington_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,president_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,trust_most_people_56c3ee7411e094000dd4654d,Female,58,5,3
56c3ee7411e094000dd4654d,vote_choice_2_56c3ee7411e094000dd4654d,Female,58,5,3
56c79f6cc41c43000c0886b0,children_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,climate_evaluation_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,education_university_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,future_children_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,life_satisfaction_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,most_important_problem_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,political_trust_washington_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,president_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,trust_most_people_56c79f6cc41c43000c0886b0,Male,47,5,4
56c79f6cc41c43000c0886b0,vote_choice_2_56c79f6cc41c43000c0886b0,Male,47,5,4
56fa002e8425ef000b3a4276,children_56fa002e8425ef000b3a4276,Male,34,5,4
56fa002e8425ef000b3a4276,climate_evaluation_56fa002e8425ef000b3a4276,Male,34,5,4
56fa002e8425ef000b3a4276,education_university_56fa002e8425ef000b3a4276,Male,34,5,4
56fa002e8425ef000b3a4276,future_children_56fa002e8425ef000b3a4276,Male,34,5,4
56fa002e8425ef000b3a4276,life_satisfaction_56fa002e8425ef000b3a4276,Male,34,5,4
56fa002e8425ef000b3a4276,most_important_problem_56fa002e8425ef000b3a4276,Male,34,5,4
